Name,CitationsPerPaper
Anders+Hansson,5.285714285714286
Takashi+Washio,0.5
Andres+Castellanos-Gomez,8.0
Antoni S.+Gozdz,0.0
José-María+Martí,4.0
Péter+Szelestey,1.0
James N.+Cook,11.0
Romeo+de Coss,6.5
Sefi+Givli,1.5
Alberto+Ventura,1.0
Olivier+Michel,0.0
Wataru+Oohara,8.0
Nigel+Wright,1.0
Dimas G.+de Oteyza,2.5
Katrina E.+Hibberd,1.0
Christopher C. J.+Potter,0.0
Giacomo M.+D'Ariano,14.333333333333334
Douglas H.+Ewing,29.0
Raz+Kupferman,4.6
Earl+Scime,1.5
Gunnar T.+Linke,2.0
Belén+Maté,6.0
Mona+Frommert,10.5
Michael+Hutchinson,0.0
Lawrence A.+Wade,5.5
Philippe+Haas,0.0
Anton+Anema,9.0
Janice H.+Nickel,19.0
Eckhart+Fretwurst,0.0
Sergej+Orlov,2.5
Erina+Nishida,11.0
Lon+Wilkens,42.0
A. Sander+Haase,0.0
Cenalo+Vaz,7.21875
Kentaro+Sato,5.6
Yasuki+Nagai,10.0
William M.+Nelson,16.0
Guliano+Benenti,21.0
Akira+Hayama,0.0
Angelo+Calci,20.636363636363637
Leonard+Gamberg,8.25
Jiho+Kim,0.0
Thibault+Damour,43.475
Laurie M.+Brown,16.121951219512194
Hiroto+Morishita,0.0
Hans+Rabus,2.0
Carles+Bona,22.428571428571427
Gerald D.+Stevens,12.0
Yoshio+Yamaguchi,153.6
Matthias+Rybarsch,4.0
Nathan+Goldman,17.5
Mohammad Abdur+Rashid,1.0
Mayumi+Aoki,20.52173913043478
Michael P.+Tuite,0.0
Yuriko Sassa+Kawamura,1.0
Sami+Nurmi,3.0
Kumar+Nanjundiah,2.0
Frederick J.+Walker,3.0
Evan H.+Abramson,6.25
Stefan+Naler,4.0
Oscar+Fuentealba,2.0
Horia I.+Petrache,18.5
Frank S.+Tomkins,10.473684210526315
Steven J. M.+Habraken,3.0
Michel+Orrit,19.22222222222222
Kiyoshi+Nishizawa,3.0
Shuangquan+Xie,1.0
Nick+Dorey,3.0
Denis+Bartolo,6.260869565217392
Michael+Rubinstein,12.28
Alberto+Abad,0.0
Max J.+Breitschafter,11.0
Kurt A.+Buzard,3.5
Matthias+Apel,16.0
Nikolay+Nizov,0.0
Kin-Chit+O,2.0
Vincenzo+Augelli,0.0
Tom+Vogt,5.75
Cynthia R.+McIntyre,1.0
Peter+Samuelsson,18.6
Matthew D.+Sievert,7.4
Gorden+Videen,2.0
Yosuke+Nagaoka,263.6
Karl+Mannheim,24.0
Mikk+Lippmaa,7.5
Sven+van Teeffelen,18.6
Daniela+Schulze,15.0
Ovidiu D.+Gordan,2.0
Dawn A.+Bonnell,7.0
Vincent+Davesne,0.0
Takasi+Shoji,5.0
Alexia+Auffèves,11.0
Kausik+Bhattacharyya,1.0
Alison E.+Malcolm,6.5
Michael+Neumann,1.0
Hideyuki+Kato,0.0
Linus+Pauling,11.761904761904763
Wanhee+Lee,0.0
Timothy M.+Swager,11.0
Hidehiko+Fukunaga,0.0
S. Alexander+Ridgway,7.666666666666667
Christian K.+Machens,0.0
Steve B.+Lowen,45.0
Kengo+Ishiyama,12.0
Edgar Campos+Furtado,3.5
Cory R.+Dean,10.0
Kenneth C.+Rule,4.5
Konstantinos+Konstantinou,0.0
Erwin A.+Schuberth,2.5
Hanna+Vehkamäki,2.0
Bruno+Bassetti,1.5
Laure+Bourgeois,1.0
Jyoti+Mazumder,0.0
Steven S.+McCready,7.0
Gabriel+Hose,10.272727272727273
Gottfried+Bauer,1.0
Trieu+Nguyen,0.0
Ted M.+Clark,6.0
Kazuki+Kishinawa,2.0
Torsten+Rabe,0.0
Elena+Gnani,1.0
V. Kelvin+Neil,2.0
Tiago P.+Peixoto,5.55
Arthur+Parzygnat,0.0
Nick P.+Proukakis,8.5
Dieter H.+Hartmann,14.5
Niels Hessel+Andersen,9.88888888888889
Pranati K.+Rath,1.0
Thiago V.+Acconcia,2.5
Antti+Lauri,6.0
Shigeki+Otani,3.090909090909091
Filip A.+Rasmussen,0.0
Mihoko M.+Nojiri,25.511627906976745
Sergey+Polyutov,4.0
Yves+Noat,7.5
Edwin C.+Jones,4.0
Malay+Dalui,0.0
Thierry+Dombre,23.25
Naresh+Chandra,4.444444444444445
Henrique N.+Bez,0.0
Jihyun+Choi,1.0
Mukesh+Kumar,3.5
Vittorio+Rosato,38.166666666666664
Barry+Winn,2.6666666666666665
Jacob J.+Wisser,0.0
Diana+Shvydka,1.0
Jonghyun+Kahng,0.0
Masanori+Kaku,0.0
Kazuhito+Fujii,3.6666666666666665
Nils Erik+Dahlen,22.833333333333332
Douglas E.+Baldwin,3.0
Julia A.+Kornfield,3.0
Colin V.+Parker,10.5
Yiannis+Sanakis,4.0
Sabine+Leroch,6.0
Karen+Lee,7.0
Gabriel A.+Cwilich,10.5
Aniello+Lampo,1.0
Jason+Pelc,35.0
Igor+Zorić,1.5
Reinaldo+de Melo e Souza,2.0
Shlomo+Ovadia,11.0
Anne K.+Starace,6.0
Holger+Haas,6.0
Delia+Ristoiu,15.0
Dipti+Pal,3.0
P. Craig+Taylor,1.0
Howard C.+Berg,26.75
Sylvain+Bréchet,0.0
Brice+Smith,7.0
James R.+Beckett,0.3333333333333333
Douglas C.+Allan,37.24
Martin+Indergand,6.666666666666667
Leon J.+Radziemski,15.333333333333334
Thuc-Quyen+Nguyen,0.5
Alexander+Piel,7.857142857142857
Apisit+Tongchai,4.0
Nuno+Franco,0.0
Michael+Naguib,1.5
Alexander+Shengelaya,6.0
Ahmad+Amjadi,0.0
Hideyuki+Kugimiya,2.0
Dimitris A.+Papaconstantopoulos,9.0
Sebastian+Orzeł,2.0
