Name,Productivity
Peter+Rech,1
Mustapha+Ishak,31
Alain+Goriely,19
Christopher D.+Hamley,2
Avner+Amir,6
Alessandro+Micco,1
Shinsuke+Shibata,1
Ferenc+Mezei,1
Huiqiu+Yuan,1
Frank+Eisert,2
Aitor+Mugarza,5
Yanfei+Zhang,1
Jiri+Malek,1
Yoske+Sumitomo,4
Lawrence+Lurio,1
Elina+Keihänen,2
Franziska+Töpler,1
Besim+Tanyel,2
Samuel H.+Blitz,1
Elena V.+Charnaya,1
Nigel J.+Shevchik,2
Kenneth M.+Watson,61
Lev N.+Bulaevskii,13
Glauber T.+Marques,2
Alok+Gambhir,1
Mihail+Mirea,1
Nelson+Sepúlveda,1
Alexandre+Yale,1
Tomoya+Higo,2
Evgueni+Nikitin,1
James W.+Landry,7
Horacio Tertuliano S.+Filho,1
Aurelio+Patelli,3
Michael J.+Sayers,1
Jeremy+Kavka,1
Adrian+Nicholl,1
Nguyenho+Ho,1
James D.+Boyer,3
Hiroki K.+Sato,3
James L.+Hanssen,2
Laurent G.+Caron,9
Mohamed H.+Mabrouk,1
Jaume+Gomis,1
Katarzyna+Zwierzchowska,2
Maurizio+Piai,11
Neal+Turner,1
Anna+Gutina,1
Péter+Ván,1
Assunta+Bonanno,2
Hiroshi+Akera,10
Atsushi+Takashima,1
Lorand+Delczeg,2
Kentarou+Sawano,6
Ton G.+van Leeuwen,2
Ivan+Biaggio,18
Vivek+Mishra,5
Miomir B.+Djordjević,1
Mukesh+Dhamala,1
Rosemary A.+MacDonald,8
Namil+Kim,1
Christiana+Athanasiou,3
Martin A.+Porter,1
Keiji+Fukui,1
Maitreyee+Nandy,8
Freek J. M.+Hoeben,1
José Nelson+Onuchic,3
Peter+Anders,2
Miladin+Radovic,2
James M.+Takacs,1
Lucy D.+Whalley,1
Gregory+Coard,1
CHARLES R.+WHITSETT,2
Isa+Brandão,1
Wayne Y.+Fung,1
Toshiki+Sasaki,1
Erik S.+So/rensen,6
Nicoleta+Kaluza,1
Bruno W.+Augenstein,2
Julia+Herrero-Albillos,6
Michihiro+Horimoto,1
Jerome+Dilley,2
Antonio Enea+Romano,8
Ehsan+Irani,2
Juliusz Zbyszko+Zielinski,2
Bram+De Geyter,2
Antoine+Naert,1
Yoshimasa+Egi,1
Drew+Bertwistle,1
Félix+Werner,7
Masahiko+Inui,2
Hanna+Małuszyńska,1
Khandker+Quader,5
Vijay+Rawat,1
Laure+Mercier de Lépinay,1
Sindhu+Kalyadan,1
Mauro+Ghedini,1
Engelbert+Suchla,1
William E.+Fogle,3
Haiyang+Peng,2
Masaru+Nakahara,3
Denis D.+Sheka,23
Giuseppe+Lombardo,2
Jom Sool+Kim,1
Isao+Harada,2
Frank+Raischel,7
Ronen+Caspi,1
Yoshimitsu+Ushimi,2
Igor E.+Batov,1
Norman J. M.+Horing,24
Masami+Nakagawa,4
Jaehong+Jeong,5
Naum S.+Ginzburg,1
Sebastian+Schramm,1
Darlene L.+Hart,1
Ronald S.+Friedman,1
Soumik+Bhattacharya,2
Hugo W.+Bertini,12
Josephine M.+Bradley,1
Fumihiro+Matsui,1
Jim+Overkamp,1
Tom+Chau,1
Sebastian+Kiepsch,1
Arthur B.+Chilton,2
Spyros+Lavdas,1
Sean+Brennan,1
Harry+Buhrman,13
Maciej+Dendzik,7
Rodney T.+Hodgson,1
Christina+Trautmann,5
Patrick+Palmeri,4
Rockhee+Sung,2
Marko+Ternick,1
Maxime+Clusel,3
Manuel A.+Matías,9
Urs+Heine,1
Tatsunori+Sakano,1
Haruhito+Kato,1
Albert+van den Berg,2
Cedric R.+Leão,1
Fay+Hannon,1
Yuichi+Tomizawa,1
Mario+Mureddu,1
Michael+Povoloskyi,1
Matthias+Rief,5
Yuttanant+Boonyongmaneerat,1
Steven M.+Gorelick,1
Jorge F.+Willemsen,24
Eugenio+Ferrari,3
Avi+Gozolchiani,3
