Paper,Gender,NumberOfCitations
10.1103/PhysRevE.88.034701,m,0
10.1103/PhysRevLett.75.589,m,1
10.1103/PhysRev.98.842,m,1
10.1103/PhysRev.158.613,m,22
10.1103/PhysRevB.39.12154,m,4
10.1103/PhysRevLett.108.038303,m,22
10.1103/PhysRevB.48.9462,m,11
10.1103/PhysRevLett.101.033602,m,6
10.1103/PhysRevD.23.2075,m,7
10.1103/PhysRev.95.1145,m,1
10.1103/PhysRev.46.629,m,0
10.1103/PhysRevA.71.069901,m,1
10.1103/PhysRevLett.73.2788,m,7
10.1103/PhysRev.39.311,m,1
10.1103/PhysRev.47.877,m,19
10.1103/PhysRevLett.47.283,m,0
10.1103/PhysRevA.66.032502,m,1
10.1103/PhysRev.76.1086,m,12
10.1103/PhysRev.110.1240,m,11
10.1103/PhysRevLett.73.1060,m,94
10.1103/PhysRevD.63.025010,m,14
10.1103/PhysRevD.53.3586,m,2
10.1103/PhysRevB.84.241305,m,12
10.1103/PhysRevB.78.180413,m,10
10.1103/PhysRevD.84.064034,m,0
10.1103/PhysRev.57.925,m,0
10.1103/PhysRev.168.1756,m,16
10.1103/PhysRevE.49.359,m,12
10.1103/PhysRevLett.59.1460,m,180
10.1103/PhysRev.43.366,m,3
10.1103/PhysRevA.70.032331,m,1
10.1103/PhysRevB.74.115105,m,0
10.1103/PhysRevD.87.065002,m,1
10.1103/PhysRevLett.110.089403,m,5
10.1103/PhysRevB.54.15917,f,0
10.1103/PhysRevSeriesI.23.498,m,2
10.1103/PhysRevB.55.13575,m,2
10.1103/PhysRevD.17.2713,m,2
10.1103/PhysRev.74.1070,m,16
10.1103/PhysRevD.19.438,m,8
10.1103/PhysRevD.6.3702,m,1
10.1103/PhysRevA.42.32,m,0
10.1103/PhysRevLett.75.1248,m,7
10.1103/PhysRevA.4.1583,m,0
10.1103/PhysRevB.84.054429,f,0
10.1103/PhysRevLett.76.3742,m,27
10.1103/PhysRevD.85.014508,m,0
10.1103/PhysRevLett.32.1080,m,0
10.1103/PhysRevB.73.184118,m,2
10.1103/PhysRevB.22.5267,m,5
10.1103/PhysRevD.42.2533,f,35
10.1103/PhysRevE.52.R33,m,0
10.1103/PhysRev.84.1262,m,9
10.1103/PhysRevD.91.063517,m,0
10.1103/PhysRev.59.565,m,6
10.1103/PhysRev.49.140,m,3
10.1103/PhysRevD.94.024046,m,0
10.1103/PhysRevA.55.3195,m,82
10.1103/PhysRevD.64.068501,m,0
10.1103/PhysRev.35.107,m,2
10.1103/PhysRevD.67.085013,m,5
10.1103/PhysRevLett.63.814,m,2
10.1103/PhysRevA.74.062517,m,4
10.1103/PhysRevC.79.014307,f,3
10.1103/PhysRevE.58.700,m,9
10.1103/PhysRevLett.25.1,m,8
10.1103/PhysRevA.30.1795,m,7
10.1103/PhysRevD.82.026003,m,8
10.1103/PhysRev.129.1481,m,1
10.1103/PhysRevA.83.032513,m,5
10.1103/PhysRevD.59.123521,f,2
10.1103/PhysRev.169.1169,m,2
10.1103/PhysRevLett.72.3742,m,0
10.1103/PhysRevLett.107.270402,m,4
10.1103/PhysRevD.42.187,m,1
10.1103/PhysRevD.1.609,m,3
10.1103/PhysRevB.78.085407,m,4
10.1103/PhysRevB.53.14475,m,1
10.1103/PhysRev.139.A1042,m,9
10.1103/PhysRev.147.1080,m,28
10.1103/PhysRevD.42.3251,m,14
10.1103/PhysRevB.71.024301,m,0
10.1103/PhysRev.42.753,m,4
10.1103/PhysRevD.86.104032,m,4
10.1103/PhysRevB.38.2948,m,1
10.1103/PhysRevD.69.083526,m,21
10.1103/PhysRevD.18.3896,m,4
10.1103/PhysRev.132.2484,m,3
10.1103/PhysRevD.69.021502,m,1
10.1103/PhysRevLett.34.1102,m,4
10.1103/PhysRevSTAB.8.104001,m,7
10.1103/PhysRev.5.497,m,4
10.1103/PhysRevE.74.011710,m,2
10.1103/PhysRevA.90.043858,m,2
10.1103/PhysRevD.38.3128,m,0
10.1103/PhysRevB.37.10898,m,2
10.1103/PhysRevA.79.022315,m,8
10.1103/PhysRevB.16.1979,m,9
10.1103/PhysRev.31.1003,m,5
10.1103/PhysRevD.14.3233,f,6
10.1103/PhysRevLett.96.137601,m,4
10.1103/PhysRevLett.81.4281,m,24
10.1103/PhysRevB.91.195121,m,1
10.1103/PhysRevD.4.3509,m,1
10.1103/PhysRevB.13.3978,f,10
10.1103/PhysRevLett.60.173,m,41
10.1103/PhysRevB.68.235213,m,20
10.1103/PhysRevA.54.4591,m,2
10.1103/PhysRev.107.1569,m,3
10.1103/PhysRev.47.636.2,m,0
10.1103/PhysRevApplied.3.024013,m,1
10.1103/PhysRevD.24.1005,m,18
10.1103/PhysRevA.42.4385,m,2
10.1103/PhysRev.107.1283,f,10
10.1103/PhysRevSTPER.8.010115,f,3
10.1103/PhysRevD.86.053008,m,4
10.1103/PhysRevB.66.205413,m,1
10.1103/PhysRev.96.999,f,8
10.1103/PhysRevA.54.3685,m,1
10.1103/PhysRevE.80.021902,m,7
10.1103/PhysRevD.62.014009,m,12
10.1103/PhysRevD.17.557,m,0
10.1103/PhysRev.139.A1920,m,3
10.1103/PhysRevD.93.045001,m,0
10.1103/PhysRevE.62.3543,m,1
10.1103/PhysRevB.79.064101,m,7
10.1103/PhysRevA.34.1642,m,31
10.1103/PhysRevD.91.106001,m,1
10.1103/PhysRevA.35.2754,m,0
10.1103/PhysRevD.69.116001,m,1
10.1103/PhysRevE.79.046405,m,1
10.1103/PhysRevA.85.042511,m,6
10.1103/PhysRev.158.1608,m,1
10.1103/PhysRevC.87.014320,m,15
10.1103/PhysRevE.51.5298,m,2
10.1103/PhysRevB.92.104428,m,6
10.1103/PhysRev.116.45,m,11
10.1103/PhysRevD.28.3054,m,2
10.1103/PhysRevE.83.036301,m,1
10.1103/PhysRev.65.46,m,1
10.1103/PhysRev.97.1443,m,1
10.1103/PhysRevLett.31.546,m,6
10.1103/PhysRev.44.73,m,0
10.1103/PhysRevE.86.061104,m,1
10.1103/PhysRevD.73.024005,m,15
10.1103/PhysRevA.70.032108,m,1
10.1103/PhysRevD.53.R2874,m,8
10.1103/PhysRevLett.23.132,m,3
10.1103/PhysRevA.55.2686,m,1
10.1103/PhysRevA.38.3210,m,20
10.1103/PhysRev.140.A1921,m,21
10.1103/PhysRevLett.92.119101,m,4
10.1103/PhysRevC.82.027307,f,2
10.1103/PhysRevA.51.1870,m,8
10.1103/PhysRevLett.3.320,m,1
10.1103/PhysRevSTPER.10.010118,m,1
10.1103/PhysRevB.46.14467,f,3
10.1103/PhysRevC.5.1795,m,2
10.1103/PhysRevLett.52.1755,m,4
10.1103/PhysRevB.16.4698,m,11
10.1103/PhysRevC.81.055204,m,0
10.1103/PhysRevD.16.937,f,22
10.1103/PhysRevB.39.3892,m,0
10.1103/PhysRev.145.1302,m,6
10.1103/PhysRevLett.87.251302,m,44
10.1103/PhysRevLett.2.47,m,9
10.1103/PhysRevD.82.125027,m,8
10.1103/PhysRevA.58.3484,m,10
10.1103/PhysRev.132.454,m,18
10.1103/PhysRevD.51.856,m,25
10.1103/PhysRevD.67.044013,f,23
10.1103/PhysRev.110.1185,m,2
10.1103/PhysRevE.51.R3827,m,3
10.1103/PhysRevD.63.015004,m,17
10.1103/PhysRevB.89.140502,m,2
10.1103/PhysRevB.26.1164,m,11
10.1103/PhysRevA.41.3642,m,11
10.1103/PhysRevB.38.9242,m,8
10.1103/PhysRevB.73.153407,m,1
10.1103/PhysRev.56.612,m,11
10.1103/PhysRevA.61.033404,m,1
10.1103/PhysRevC.77.014609,m,1
10.1103/PhysRevD.40.1956,m,1
10.1103/PhysRevD.43.3565,m,1
10.1103/PhysRevLett.64.2835,m,8
10.1103/PhysRevD.78.064039,m,7
10.1103/PhysRev.109.1076,m,4
10.1103/PhysRevA.51.1407,m,4
10.1103/PhysRevLett.77.1905,f,45
10.1103/PhysRevLett.116.127202,m,5
10.1103/PhysRevB.91.245131,m,2
10.1103/PhysRevA.35.1412,m,5
10.1103/PhysRevD.83.024028,m,22
10.1103/PhysRevLett.46.546,m,10
10.1103/PhysRevA.13.2299,m,2
10.1103/PhysRevD.15.2731,m,3
10.1103/PhysRevB.21.2051,m,10
10.1103/PhysRevB.39.12248,m,0
10.1103/PhysRevA.66.024102,m,16
10.1103/PhysRevB.73.132201,m,4
10.1103/PhysRevA.85.052311,m,0
10.1103/PhysRevLett.105.018103,m,2
10.1103/PhysRev.179.138,m,2
10.1103/PhysRevA.72.022112,m,2
10.1103/RevModPhys.75.995,m,0
10.1103/PhysRevB.34.3904,m,31
10.1103/PhysRev.163.1826,m,1
10.1103/RevModPhys.36.305,m,3
10.1103/PhysRevD.52.2951,m,24
10.1103/PhysRevD.83.029902,m,1
10.1103/PhysRev.37.287,m,1
10.1103/PhysRevC.13.2343,m,3
10.1103/PhysRevD.9.2850,m,0
10.1103/PhysRevE.58.R4096,m,8
10.1103/PhysRevA.73.026702,m,1
10.1103/PhysRevD.25.538,m,0
10.1103/PhysRevB.93.195125,m,0
10.1103/PhysRevB.26.3417,m,0
10.1103/PhysRevB.42.1388,f,1
10.1103/PhysRevD.53.3156,m,3
10.1103/PhysRev.155.1689,m,1
10.1103/PhysRevB.61.4429,m,29
10.1103/PhysRevLett.4.6,f,4
10.1103/PhysRevA.53.791,m,4
10.1103/PhysRevD.45.3386,m,2
10.1103/PhysRevB.81.224305,m,2
10.1103/PhysRevD.49.1120,f,7
10.1103/PhysRevA.50.2788,m,3
10.1103/PhysRevD.58.124030,m,13
10.1103/PhysRev.178.895,m,2
10.1103/PhysRevA.23.3019,m,9
10.1103/RevModPhys.58.699,m,160
10.1103/PhysRevB.67.113302,m,3
10.1103/PhysRevLett.44.1450,m,14
10.1103/PhysRevD.23.1618,m,6
10.1103/PhysRevD.74.043009,m,3
10.1103/PhysRevA.73.043601,m,8
10.1103/PhysRev.136.B507,m,73
10.1103/PhysRevD.53.5651,m,1
10.1103/PhysRevLett.65.2145,m,20
10.1103/PhysRevA.80.053621,m,6
10.1103/RevModPhys.36.524,m,2
10.1103/PhysRevD.93.023521,f,5
10.1103/PhysRevB.18.6071,m,1
10.1103/PhysRevD.73.104034,m,9
10.1103/PhysRevD.31.1931,m,57
10.1103/PhysRev.81.1060,m,17
10.1103/PhysRevE.85.021125,m,2
10.1103/PhysRevC.89.044904,m,5
10.1103/PhysRevD.30.1632,m,7
10.1103/PhysRev.13.209,m,3
10.1103/PhysRevA.34.1454,m,10
10.1103/PhysRevE.84.011118,m,3
10.1103/PhysRevLett.117.111601,f,0
10.1103/PhysRevLett.28.1010.3,m,2
10.1103/PhysRevLett.72.5,m,59
10.1103/PhysRevE.88.046102,m,3
10.1103/PhysRev.8.52,m,1
10.1103/PhysRevD.54.3952,m,0
10.1103/PhysRevA.86.053801,m,0
10.1103/PhysRev.116.785,m,1
10.1103/PhysRevD.38.1228,m,22
10.1103/PhysRevC.73.035213,m,4
10.1103/PhysRevD.94.025014,m,0
10.1103/PhysRevD.15.3054,m,25
10.1103/PhysRevLett.76.2625,m,14
10.1103/PhysRevLett.83.734,m,3
10.1103/PhysRev.58.929,m,5
10.1103/PhysRevLett.64.697,m,2
10.1103/PhysRev.49.555,m,11
10.1103/PhysRevD.80.064035,m,17
10.1103/PhysRevLett.83.5427,m,7
10.1103/PhysRevB.40.9303,m,0
10.1103/PhysRevA.72.024103,f,12
10.1103/PhysRevA.53.2059,m,4
10.1103/PhysRevB.81.115436,m,17
10.1103/PhysRevB.89.140413,m,12
10.1103/PhysRevD.22.1871,m,15
10.1103/PhysRev.188.774,m,18
